run_id,scenario,policy_tag,t_global,healthcare_budget,social_service_budget,sw_id,x,y,target_peh_idx
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,0,3,2,2
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,1,5,6,5
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,2,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,3,2,4,2
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,4,0,2,0
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,5,1,2,4
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,6,3,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,7,1,4,4
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,8,3,5,6
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,9,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,10,2,2,2
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,11,3,2,4
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,12,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,13,6,5,5
run_001,policy_inclusive_healthcare,eval_policyOFF,0,5000.0,5000.0,14,5,6,5
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,0,3,2,2
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,1,5,6,5
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,2,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,3,2,4,2
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,4,0,3,0
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,5,2,2,4
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,6,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,7,2,4,4
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,8,3,5,6
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,9,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,10,3,2,2
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,11,2,2,4
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,12,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,13,6,5,5
run_001,policy_inclusive_healthcare,eval_policyOFF,1,5000.0,4990.0,14,5,6,5
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,0,3,2,2
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,1,5,6,5
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,2,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,3,2,4,2
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,4,0,3,0
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,5,2,2,4
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,6,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,7,2,4,4
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,8,3,5,6
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,9,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,10,3,2,2
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,11,2,2,4
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,12,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,13,6,5,5
run_001,policy_inclusive_healthcare,eval_policyOFF,2,5000.0,4980.0,14,5,6,5
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,0,3,2,2
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,1,5,6,5
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,2,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,3,2,4,2
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,4,0,3,0
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,5,2,2,4
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,6,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,7,2,4,4
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,8,3,5,6
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,9,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,10,3,2,2
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,11,2,2,4
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,12,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,13,6,5,5
run_001,policy_inclusive_healthcare,eval_policyOFF,3,5000.0,4970.0,14,5,6,5
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,0,3,2,2
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,1,5,6,5
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,2,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,3,2,4,2
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,4,0,3,0
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,5,2,2,4
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,6,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,7,2,4,4
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,8,3,5,6
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,9,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,10,3,2,2
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,11,2,2,4
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,12,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,13,6,5,5
run_001,policy_inclusive_healthcare,eval_policyOFF,4,5000.0,4960.0,14,5,6,5
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,0,3,2,2
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,1,5,6,5
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,2,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,3,2,4,2
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,4,0,3,0
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,5,2,2,4
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,6,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,7,2,4,4
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,8,3,5,6
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,9,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,10,3,2,2
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,11,2,2,4
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,12,2,6,7
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,13,6,5,5
run_001,policy_inclusive_healthcare,eval_policyOFF,5,4970.0,4950.0,14,5,6,5
